"District","City","County","Latitude","Longitude","Platform","Slug","Job_Link"
"Billings Public Schools","Billings","Yellowstone County",45.7833,-108.5007,"AppliTrack","billings","https://www.applitrack.com/billings/onlineapp/default.aspx"
"Missoula County Public Schools","Missoula","Missoula County",46.8721,-113.9940,"AppliTrack","mcpsmt","https://www.applitrack.com/mcpsmt/onlineapp/default.aspx"
"Great Falls Public Schools","Great Falls","Cascade County",47.5053,-111.3008,"AppliTrack","greatfalls","https://www.applitrack.com/greatfalls/onlineapp/default.aspx"
"Bozeman Public Schools","Bozeman","Gallatin County",45.6770,-111.0429,"AppliTrack","bozeman","https://www.applitrack.com/bozeman/onlineapp/default.aspx"
"Helena Public Schools","Helena","Lewis and Clark County",46.5891,-112.0391,"AppliTrack","helena","https://www.applitrack.com/helena/onlineapp/default.aspx"
"Butte School District 1","Butte","Silver Bow County",46.0038,-112.5348,"AppliTrack","buttemt","https://www.applitrack.com/buttemt/onlineapp/default.aspx"
"Belgrade School District 44","Belgrade","Gallatin County",45.7766,-111.1832,"AppliTrack","belgradeschools","https://www.applitrack.com/belgradeschools/onlineapp/default.aspx"
"East Helena Public Schools","East Helena","Lewis and Clark County",46.5866,-111.9366,"AppliTrack","ehps","https://www.applitrack.com/ehps/onlineapp/default.aspx"
"Lockwood Schools","Lockwood","Yellowstone County",45.8103,-108.4437,"AppliTrack","lockwoodschool","https://www.applitrack.com/lockwoodschool/onlineapp/default.aspx"
"Hamilton School District 3","Hamilton","Ravalli County",46.2483,-114.1618,"AppliTrack","hamiltonsd3","https://www.applitrack.com/hamiltonsd3/onlineapp/default.aspx"
"Havre Public Schools","Havre","Hill County",48.5497,-109.6845,"AppliTrack","havre","https://www.applitrack.com/havre/onlineapp/default.aspx"
"Whitefish School District","Whitefish","Flathead County",48.4111,-114.3376,"SchoolSpring","whitefishschools.schoolspring.com","https://whitefishschools.schoolspring.com/"
"Columbia Falls School District 6","Columbia Falls","Flathead County",48.3705,-114.1801,"SchoolSpring","sd6.schoolspring.com","https://sd6.schoolspring.com/"
"Polson School District","Polson","Lake County",47.6935,-114.1631,"SchoolSpring","polson.schoolspring.com","https://polson.schoolspring.com/"
"Lewistown Public Schools","Lewistown","Fergus County",47.0631,-109.4282,"SchoolSpring","lewistown.schoolspring.com","https://lewistown.schoolspring.com/"
"Laurel Public Schools","Laurel","Yellowstone County",45.6710,-108.7712,"SchoolSpring","laurel.schoolspring.com","https://laurel.schoolspring.com/"
"Kalispell Public Schools","Kalispell","Flathead County",48.1958,-114.3129,"TylerPortico","kalispellpublicschoolsmt","https://kalispellpublicschoolsmt.tylerportico.com/tess/citizen/jobs/job-list/jobs"
