"Category","Archive_Date","Institution","Job_Type","sum"
"CTE - Business & Computing","2026-08-06","Total","Instructor/Teacher/Faculty",11
"CTE - Health Sciences","2026-08-06","Total","Adjunct/Part-Time Faculty",4
"CTE - Health Sciences","2026-08-06","Total","Instructor/Teacher/Faculty",3
"CTE - Trades & Engineering","2026-08-06","Total","Adjunct/Part-Time Faculty",2
"CTE - Trades & Engineering","2026-08-06","Total","Instructor/Teacher/Faculty",16
"Culinary/Hospitality","2026-08-06","Total","Adjunct/Part-Time Faculty",1
"Culinary/Hospitality","2026-08-06","Total","Instructor/Teacher/Faculty",2
"Education","2026-08-06","Total","Adjunct/Part-Time Faculty",1
"Education","2026-08-06","Total","Instructor/Teacher/Faculty",2
"History","2026-08-06","Total","Instructor/Teacher/Faculty",1
"Humanities","2026-08-06","Total","Adjunct/Part-Time Faculty",1
"Humanities","2026-08-06","Total","Instructor/Teacher/Faculty",1
"Language","2026-08-06","Total","Adjunct/Part-Time Faculty",1
"Language","2026-08-06","Total","Instructor/Teacher/Faculty",3
"Legal","2026-08-06","Total","Instructor/Teacher/Faculty",1
"Library","2026-08-06","Total","Instructor/Teacher/Faculty",2
"Math","2026-08-06","Total","Instructor/Teacher/Faculty",2
"Physical Education","2026-08-06","Total","Instructor/Teacher/Faculty",1
"Science","2026-08-06","Total","Adjunct/Part-Time Faculty",2
"Science","2026-08-06","Total","Instructor/Teacher/Faculty",15
"Social Science","2026-08-06","Total","Instructor/Teacher/Faculty",2
"The Arts","2026-08-06","Total","Adjunct/Part-Time Faculty",1
"The Arts","2026-08-06","Total","Instructor/Teacher/Faculty",2
"Uncategorized","2026-08-06","Total","Adjunct/Part-Time Faculty",9
"Uncategorized","2026-08-06","Total","Instructor/Teacher/Faculty",44
"CTE - Business & Computing","2026-08-06","Montana State University","Instructor/Teacher/Faculty",11
"CTE - Health Sciences","2026-08-06","Flathead Valley Community College","Adjunct/Part-Time Faculty",1
"CTE - Health Sciences","2026-08-06","Great Falls College MSU","Adjunct/Part-Time Faculty",2
"CTE - Health Sciences","2026-08-06","Montana State University","Instructor/Teacher/Faculty",3
"CTE - Health Sciences","2026-08-06","Montana State University-Northern","Adjunct/Part-Time Faculty",1
"CTE - Trades & Engineering","2026-08-06","Flathead Valley Community College","Adjunct/Part-Time Faculty",2
"CTE - Trades & Engineering","2026-08-06","Montana State University","Instructor/Teacher/Faculty",12
"CTE - Trades & Engineering","2026-08-06","Montana State University Billings","Instructor/Teacher/Faculty",1
"CTE - Trades & Engineering","2026-08-06","Montana State University-Northern","Instructor/Teacher/Faculty",2
"CTE - Trades & Engineering","2026-08-06","Montana Tech","Instructor/Teacher/Faculty",1
"Culinary/Hospitality","2026-08-06","Flathead Valley Community College","Adjunct/Part-Time Faculty",1
"Culinary/Hospitality","2026-08-06","Montana State University","Instructor/Teacher/Faculty",2
"Education","2026-08-06","Flathead Valley Community College","Adjunct/Part-Time Faculty",1
"Education","2026-08-06","Montana State University","Instructor/Teacher/Faculty",2
"History","2026-08-06","Montana State University","Instructor/Teacher/Faculty",1
"Humanities","2026-08-06","Flathead Valley Community College","Adjunct/Part-Time Faculty",1
"Humanities","2026-08-06","Montana State University","Instructor/Teacher/Faculty",1
"Language","2026-08-06","Flathead Valley Community College","Adjunct/Part-Time Faculty",1
"Language","2026-08-06","Montana State University","Instructor/Teacher/Faculty",3
"Legal","2026-08-06","Montana State University","Instructor/Teacher/Faculty",1
"Library","2026-08-06","Montana State University","Instructor/Teacher/Faculty",2
"Math","2026-08-06","Montana State University","Instructor/Teacher/Faculty",2
"Physical Education","2026-08-06","Montana State University","Instructor/Teacher/Faculty",1
"Science","2026-08-06","Flathead Valley Community College","Adjunct/Part-Time Faculty",2
"Science","2026-08-06","Flathead Valley Community College","Instructor/Teacher/Faculty",1
"Science","2026-08-06","Montana State University","Instructor/Teacher/Faculty",12
"Science","2026-08-06","Montana State University-Northern","Instructor/Teacher/Faculty",1
"Science","2026-08-06","Montana Tech","Instructor/Teacher/Faculty",1
"Social Science","2026-08-06","Montana State University","Instructor/Teacher/Faculty",2
"The Arts","2026-08-06","Flathead Valley Community College","Adjunct/Part-Time Faculty",1
"The Arts","2026-08-06","Montana State University","Instructor/Teacher/Faculty",2
"Uncategorized","2026-08-06","Flathead Valley Community College","Adjunct/Part-Time Faculty",4
"Uncategorized","2026-08-06","Flathead Valley Community College","Instructor/Teacher/Faculty",1
"Uncategorized","2026-08-06","Great Falls College MSU","Adjunct/Part-Time Faculty",3
"Uncategorized","2026-08-06","Great Falls College MSU","Instructor/Teacher/Faculty",1
"Uncategorized","2026-08-06","Montana State University","Instructor/Teacher/Faculty",39
"Uncategorized","2026-08-06","Montana State University Billings","Instructor/Teacher/Faculty",2
"Uncategorized","2026-08-06","Montana Tech","Adjunct/Part-Time Faculty",2
"Uncategorized","2026-08-06","Montana Tech","Instructor/Teacher/Faculty",1
"CTE - Business & Computing","2026-08-07","Total","Instructor/Teacher/Faculty",11
"CTE - Health Sciences","2026-08-07","Total","Adjunct/Part-Time Faculty",4
"CTE - Health Sciences","2026-08-07","Total","Instructor/Teacher/Faculty",3
"CTE - Trades & Engineering","2026-08-07","Total","Adjunct/Part-Time Faculty",2
"CTE - Trades & Engineering","2026-08-07","Total","Instructor/Teacher/Faculty",16
"Culinary/Hospitality","2026-08-07","Total","Adjunct/Part-Time Faculty",1
"Culinary/Hospitality","2026-08-07","Total","Instructor/Teacher/Faculty",2
"Education","2026-08-07","Total","Adjunct/Part-Time Faculty",1
"Education","2026-08-07","Total","Instructor/Teacher/Faculty",2
"History","2026-08-07","Total","Instructor/Teacher/Faculty",1
"Humanities","2026-08-07","Total","Adjunct/Part-Time Faculty",1
"Humanities","2026-08-07","Total","Instructor/Teacher/Faculty",1
"Language","2026-08-07","Total","Adjunct/Part-Time Faculty",1
"Language","2026-08-07","Total","Instructor/Teacher/Faculty",3
"Legal","2026-08-07","Total","Instructor/Teacher/Faculty",1
"Library","2026-08-07","Total","Instructor/Teacher/Faculty",2
"Math","2026-08-07","Total","Instructor/Teacher/Faculty",2
"Physical Education","2026-08-07","Total","Instructor/Teacher/Faculty",1
"Science","2026-08-07","Total","Adjunct/Part-Time Faculty",2
"Science","2026-08-07","Total","Instructor/Teacher/Faculty",15
"Social Science","2026-08-07","Total","Instructor/Teacher/Faculty",2
"The Arts","2026-08-07","Total","Adjunct/Part-Time Faculty",1
"The Arts","2026-08-07","Total","Instructor/Teacher/Faculty",2
"Uncategorized","2026-08-07","Total","Adjunct/Part-Time Faculty",10
"Uncategorized","2026-08-07","Total","Instructor/Teacher/Faculty",45
"CTE - Business & Computing","2026-08-07","Montana State University","Instructor/Teacher/Faculty",11
"CTE - Health Sciences","2026-08-07","Flathead Valley Community College","Adjunct/Part-Time Faculty",1
"CTE - Health Sciences","2026-08-07","Great Falls College MSU","Adjunct/Part-Time Faculty",2
"CTE - Health Sciences","2026-08-07","Montana State University","Instructor/Teacher/Faculty",3
"CTE - Health Sciences","2026-08-07","Montana State University-Northern","Adjunct/Part-Time Faculty",1
"CTE - Trades & Engineering","2026-08-07","Flathead Valley Community College","Adjunct/Part-Time Faculty",2
"CTE - Trades & Engineering","2026-08-07","Montana State University","Instructor/Teacher/Faculty",12
"CTE - Trades & Engineering","2026-08-07","Montana State University Billings","Instructor/Teacher/Faculty",1
"CTE - Trades & Engineering","2026-08-07","Montana State University-Northern","Instructor/Teacher/Faculty",2
"CTE - Trades & Engineering","2026-08-07","Montana Tech","Instructor/Teacher/Faculty",1
"Culinary/Hospitality","2026-08-07","Flathead Valley Community College","Adjunct/Part-Time Faculty",1
